id,title,price,thumbnail_id,catalog_product_id,listing_type_id,permalink,buying_mode
MLA1760962522,Xbox One S,370000,847026-MLA76160953549_052024,MLA23690824,gold_special,https://articulo.mercadolibre.com.ar/MLA-1760962522-xbox-one-s-_JM,buy_it_now
MLA1401193233,Xbox One S,550000,940417-MLA73779624019_012024,MLA6483219,gold_special,https://articulo.mercadolibre.com.ar/MLA-1401193233-xbox-one-s-_JM,buy_it_now
MLA1757172360,Xbox 360 Slim,180000,972235-MLA76109713449_042024,MLA23690824,gold_special,https://articulo.mercadolibre.com.ar/MLA-1757172360-xbox-360-slim-_JM,buy_it_now
MLA1377225049,Microsoft Xbox One S 1tb Standard  Color Blanco + 1 Mando,435000,821159-MLA70507364115_072023,MLA6483219,gold_special,https://articulo.mercadolibre.com.ar/MLA-1377225049-microsoft-xbox-one-s-1tb-standard-color-blanco-1-mando-_JM,buy_it_now
MLA1718185712,Xbox One S A Reparar Apaga Y Prende ,160000,851710-MLA75230279292_032024,MLA23690824,gold_special,https://articulo.mercadolibre.com.ar/MLA-1718185712-xbox-one-s-a-reparar-apaga-y-prende-_JM,buy_it_now
MLA1695045214,Xbox One S,635000,976783-MLA74958279449_032024,MLA23690824,gold_pro,https://articulo.mercadolibre.com.ar/MLA-1695045214-xbox-one-s-_JM,buy_it_now
MLA1694993460,Xbox One S,460000,631798-MLA74958425147_032024,MLA23690824,gold_special,https://articulo.mercadolibre.com.ar/MLA-1694993460-xbox-one-s-_JM,buy_it_now
MLA1423860095,Xbox One S 1tb,350000,946240-MLA76069819127_042024,MLA23690824,gold_special,https://articulo.mercadolibre.com.ar/MLA-1423860095-xbox-one-s-1tb-_JM,buy_it_now
MLA1414346067,Xbox One S 1tb,350000,703473-MLA75082533789_032024,MLA23690824,gold_special,https://articulo.mercadolibre.com.ar/MLA-1414346067-xbox-one-s-1tb-_JM,buy_it_now
MLA763700980,Xbox One S 2tb Gears Of War 4 + 2 Joystick + Halo 5,550000,885676-MLA31604347415_072019,,gold_special,https://articulo.mercadolibre.com.ar/MLA-763700980-xbox-one-s-2tb-gears-of-war-4-2-joystick-halo-5-_JM,buy_it_now
MLA1758292046,Xbox One S 1t +  2 Controles Inalambricos Y Juegos! ,1000000,605494-MLA75952087800_052024,MLA23690824,gold_special,https://articulo.mercadolibre.com.ar/MLA-1758292046-xbox-one-s-1t-2-controles-inalambricos-y-juegos-_JM,buy_it_now
MLA1421628159,Xbox One,500800,719342-MLA75783762953_042024,MLA21206939,gold_special,https://articulo.mercadolibre.com.ar/MLA-1421628159-xbox-one-_JM,buy_it_now
MLA1623952700,Microsoft Xbox One S 500gb Battlefield 1 Bundle ,430000,730656-MLA73895083133_012024,MLA15192533,gold_special,https://articulo.mercadolibre.com.ar/MLA-1623952700-microsoft-xbox-one-s-500gb-battlefield-1-bundle-_JM,buy_it_now
