id,title,price,thumbnail_id,catalog_product_id,listing_type_id,permalink,buying_mode
MLA1386379139,Consola Nintendo Switch Oled Modelo Splatoon 3,1199999,698399-MLA76090466112_052024,MLA23529011,gold_pro,https://www.mercadolibre.com.ar/consola-nintendo-switch-oled-modelo-splatoon-3/p/MLA23529011,buy_it_now
MLA1411661855,Nintendo Switch Lite 32gb Animal Crossing: New Horizons Pack  Color Coral,366000,922980-MLA50608150079_072022,MLA19352053,gold_special,https://www.mercadolibre.com.ar/nintendo-switch-lite-32gb-animal-crossing-new-horizons-pack-color-coral/p/MLA19352053,buy_it_now
MLA1381083879,Nintendo Switch 32 Gb Sports Bundle Neon,699999.99,893163-MLU69628114788_052023,MLA23227004,gold_special,https://www.mercadolibre.com.ar/nintendo-switch-32-gb-sports-bundle-neon/p/MLA23227004,buy_it_now
MLA1669222218,Nintendo Switch Lite 32gb Dialga & Palkia Edition  Color Gris,599999,764341-MLA48681072065_122021,MLA18607543,gold_special,https://www.mercadolibre.com.ar/nintendo-switch-lite-32gb-dialga-palkia-edition-color-gris/p/MLA18607543,buy_it_now
MLA1679616210,Consola Nintendo Switch Oled Mario Red,637499,740826-MLA74569932812_022024,MLA27648563,gold_special,https://articulo.mercadolibre.com.ar/MLA-1679616210-consola-nintendo-switch-oled-mario-red-_JM,buy_it_now
MLA1411354721,Nintendo Switch 32gb Standard Color Gris Bateria Extendida,459999,963849-MLA74651893030_022024,MLA8755482,gold_special,https://articulo.mercadolibre.com.ar/MLA-1411354721-nintendo-switch-32gb-standard-color-gris-bateria-extendida-_JM,buy_it_now
MLA1390124940,Nintendo Switch Oled 64gb Splatoon 3 Edition  Ade,564500,995408-MLA51572691067_092022,MLA19610177,gold_special,https://articulo.mercadolibre.com.ar/MLA-1390124940-nintendo-switch-oled-64gb-splatoon-3-edition-ade-_JM,buy_it_now
MLA1556443336,Consola Nintendo Switch Lite Coral,399999,991627-MLU72565649314_112023,MLA23727433,gold_special,https://www.mercadolibre.com.ar/consola-nintendo-switch-lite-coral/p/MLA23727433,buy_it_now
MLA1419927703,Nintendo Switch Sports,695000,603855-MLA74607804811_022024,MLA20034791,free,https://articulo.mercadolibre.com.ar/MLA-1419927703-nintendo-switch-sports-_JM,buy_it_now
MLA1725740564,Nintendo Switch Switch Oled Lego Dc Super-villains Bundle,899999,947592-MLU69324656652_052023,MLA23136383,gold_special,https://www.mercadolibre.com.ar/nintendo-switch-switch-oled-lego-dc-super-villains-bundle/p/MLA23136383,buy_it_now
MLA1657734328,Nintendo  Lite Switch Lite 32gb Standard  Color Amarillo Ade,349999,623033-MLU74226076213_012024,MLA15191028,gold_special,https://articulo.mercadolibre.com.ar/MLA-1657734328-nintendo-lite-switch-lite-32gb-standard-color-amarillo-ade-_JM,buy_it_now
MLA1179004135,Nintendo Switch Oled 64gb Standard  Color Rojo Neón,789999,803086-MLA47920649105_102021,MLA18537257,gold_pro,https://articulo.mercadolibre.com.ar/MLA-1179004135-nintendo-switch-oled-64gb-standard-color-rojo-neon-_JM,buy_it_now
MLA832885376,Consola Nintendo Switch Neon  Bat. Extendida 32 Gb / Makkax,749999,826001-MLA40314485223_012020,MLA24237198,gold_special,https://articulo.mercadolibre.com.ar/MLA-832885376-consola-nintendo-switch-neon-bat-extendida-32-gb-makkax-_JM,buy_it_now
